PolicyNumber;Gender;DrivAge;State;ClaimNb;HadRob;HadPartColl;HadTotColl;HadFire;HadOther;VehYear_Class;Region;VehGroup_bin;ClaimAmountNormalized
626891;Female;18-25;Bahia;0;0;0;0;0;0;2004-2007;Nord-Est;Citadine;0.0
1879683;Female;>55;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Véhicules utilitaires;0.0
1060673;Female;36-45;Sao Paulo;3;0;1;0;0;0;2007-2010;Sud-Est;Breaks et monospaces;811.3333333333334
1330554;Male;26-35;Parana;0;0;0;0;0;0;2001-2004;Sud;Compactes;0.0
38701;Male;>55;Santa Catarina;0;0;0;0;0;0;2004-2007;Sud;Compactes;0.0
1526134;Corporate;36-45;Rio Grande do Norte;0;0;0;0;0;0;2007-2010;Nord-Est;Véhicules utilitaires;0.0
283848;Female;>55;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
798584;Male;36-45;Mato Grosso do Sul;0;0;0;0;0;0;1995-1998;Centre-Ouest;Citadine;0.0
1850454;Corporate;36-45;Minas Gerais;0;0;0;0;0;0;<1995;Sud-Est;Non classifié;0.0
1924843;Male;26-35;Santa Catarina;0;0;0;0;0;0;2001-2004;Sud;Citadine;0.0
546224;Corporate;36-45;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
1433601;Male;46-55;Minas Gerais;1;0;0;0;0;1;2007-2010;Sud-Est;Véhicules utilitaires;398.0
64443;Male;26-35;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Citadine;0.0
785540;Corporate;36-45;Mato Grosso;0;0;0;0;0;0;2001-2004;Centre-Ouest;Citadine;0.0
692970;Male;26-35;Alagoas;0;0;0;0;0;0;2007-2010;Nord-Est;Compactes;0.0
1208087;Female;46-55;Mato Grosso do Sul;0;0;0;0;0;0;2010-2013;Centre-Ouest;Citadine;0.0
485653;Corporate;26-35;Minas Gerais;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
1432808;Corporate;46-55;Minas Gerais;0;0;0;0;0;0;2001-2004;Sud-Est;Véhicules utilitaires;0.0
50124;Female;46-55;Rio Grande do Sul;0;0;0;0;0;0;1998-2001;Sud;Berlines;0.0
356589;Female;26-35;Sao Paulo;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
467746;Male;>55;Minas Gerais;1;0;1;0;0;0;2007-2010;Sud-Est;Compactes;12027.0
1131642;Female;26-35;Rio de Janeiro;0;0;0;0;0;0;2001-2004;Sud-Est;Breaks et monospaces;0.0
1802812;Female;46-55;Maranhao;0;0;0;0;0;0;2010-2013;Nord-Est;Citadine;0.0
1175923;Male;46-55;Alagoas;0;0;0;0;0;0;2010-2013;Nord-Est;Citadine;0.0
1099049;Male;36-45;Minas Gerais;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
321190;Male;36-45;Sao Paulo;1;0;1;0;0;0;1995-1998;Sud-Est;Citadine;2630.0
1045316;Female;>55;Sao Paulo;0;0;0;0;0;0;2001-2004;Sud-Est;Compactes;0.0
1942583;Male;26-35;Rio Grande do Sul;0;0;0;0;0;0;<1995;Sud;Non classifié;0.0
336781;Male;26-35;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
58761;Female;26-35;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
1241709;Male;36-45;Rio Grande do Sul;1;0;1;0;0;0;2010-2013;Sud;Véhicules utilitaires;2078.0
1110899;Male;46-55;Rio de Janeiro;0;0;0;0;0;0;2010-2013;Sud-Est;Citadine;0.0
500832;Female;>55;Minas Gerais;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
949905;Female;36-45;Parana;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
865700;Male;36-45;Tocantins;0;0;0;0;0;0;2004-2007;Nord;Compactes;0.0
108499;Female;36-45;Santa Catarina;1;0;1;0;0;0;2001-2004;Sud;Breaks et monospaces;1107.0
630720;Male;46-55;Sergipe;3;0;1;0;0;1;2004-2007;Nord-Est;Berlines;783.3333333333334
662331;Corporate;46-55;Pernambuco;0;0;0;0;0;0;2007-2010;Nord-Est;Compactes;0.0
60883;Corporate;36-45;Goias;0;0;0;0;0;0;2010-2013;Centre-Ouest;Compactes;0.0
24745;Female;26-35;Rio de Janeiro;0;0;0;0;0;0;2004-2007;Sud-Est;Citadine;0.0
1471702;Male;36-45;Rio de Janeiro;0;0;0;0;0;0;2004-2007;Sud-Est;Véhicules tout-terrain;0.0
1339988;Corporate;>55;Sao Paulo;0;0;0;0;0;0;2004-2007;Sud-Est;Véhicules tout-terrain;0.0
920803;Male;26-35;Santa Catarina;0;0;0;0;0;0;2010-2013;Sud;Berlines;0.0
1542108;Male;18-25;Ceara;2;0;0;0;0;1;2007-2010;Nord-Est;Véhicules utilitaires sportifs;67.0
947194;Male;26-35;Parana;0;0;0;0;0;0;2007-2010;Sud;Breaks et monospaces;0.0
306477;Female;>55;Sao Paulo;1;0;0;0;0;1;2010-2013;Sud-Est;Compactes;67.0
377501;Female;36-45;Sao Paulo;0;0;0;0;0;0;1995-1998;Sud-Est;Compactes;0.0
986469;Female;>55;Sao Paulo;0;0;0;0;0;0;2010-2013;Sud-Est;Non classifié;0.0
1815281;Corporate;36-45;Rio Grande do Sul;0;0;0;0;0;0;1998-2001;Sud;Non classifié;0.0
1822500;Corporate;36-45;Sergipe;0;0;0;0;0;0;2007-2010;Nord-Est;Non classifié;0.0
684687;Female;>55;Rio Grande do Norte;0;0;0;0;0;0;2004-2007;Nord-Est;Citadine;0.0
1250921;Female;>55;Rio Grande do Sul;0;0;0;0;0;0;1998-2001;Sud;Véhicules utilitaires sportifs;0.0
655579;Female;26-35;Pernambuco;0;0;0;0;0;0;2010-2013;Nord-Est;Citadine;0.0
622581;Male;46-55;Bahia;1;1;0;0;0;0;2007-2010;Nord-Est;Compactes;30682.0
839595;Male;46-55;Goias;5;0;0;1;0;1;2004-2007;Centre-Ouest;Compactes;4970.0
1435049;Female;>55;Minas Gerais;0;0;0;0;0;0;1998-2001;Sud-Est;Véhicules utilitaires;0.0
1804947;Male;>55;Amazonas;0;0;0;0;0;0;2007-2010;Nord;Véhicules utilitaires;0.0
1496443;Male;46-55;Bahia;0;0;0;0;0;0;1998-2001;Nord-Est;Véhicules utilitaires;0.0
83423;Corporate;36-45;Rio Grande do Sul;0;0;0;0;0;0;2001-2004;Sud;Compactes;0.0
1526762;Male;36-45;Rio Grande do Norte;0;0;0;0;0;0;2010-2013;Nord-Est;Citadine;0.0
1753343;Male;36-45;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Motos;0.0
570372;Female;18-25;Rio de Janeiro;0;0;0;0;0;0;1995-1998;Sud-Est;Citadine;0.0
1938096;Male;>55;Parana;1;0;1;0;0;0;2007-2010;Sud;Berlines;1293.0
247582;Male;>55;Sao Paulo;0;0;0;0;0;0;1998-2001;Sud-Est;Citadine;0.0
1715550;Corporate;36-45;Ceara;0;0;0;0;0;0;2010-2013;Nord-Est;Non classifié;0.0
1000559;Female;46-55;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Compactes;0.0
1383183;Male;18-25;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Non classifié;0.0
321350;Male;36-45;Sao Paulo;1;0;0;0;0;1;2001-2004;Sud-Est;Citadine;79.0
1785370;Corporate;36-45;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires;0.0
1516778;Male;36-45;Pernambuco;0;0;0;0;0;0;2007-2010;Nord-Est;Véhicules tout-terrain;0.0
345663;Female;26-35;Sao Paulo;11;1;1;0;0;1;2004-2007;Sud-Est;Non classifié;21576.727272727272
362895;Female;>55;Sao Paulo;0;0;0;0;0;0;1998-2001;Sud-Est;Citadine;0.0
1200678;Female;26-35;Roraima;0;0;0;0;0;0;2010-2013;Nord;Citadine;0.0
919357;Female;36-45;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
719529;Corporate;36-45;Ceara;0;0;0;0;0;0;2007-2010;Nord-Est;Compactes;0.0
1286454;Male;36-45;Santa Catarina;0;0;0;0;0;0;2001-2004;Sud;Breaks et monospaces;0.0
1375814;Male;>55;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules tout-terrain;0.0
1743465;Male;36-45;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Motos;0.0
236149;Male;46-55;Parana;0;0;0;0;0;0;2001-2004;Sud;Véhicules utilitaires;0.0
184286;Male;36-45;Parana;1;0;1;0;0;0;2007-2010;Sud;Compactes;5029.0
1780100;Male;26-35;Minas Gerais;0;0;0;0;0;0;2004-2007;Sud-Est;Motos;0.0
1259264;Male;46-55;Rio Grande do Sul;0;0;0;0;0;0;<1995;Sud;Véhicules utilitaires;0.0
918694;Corporate;36-45;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
304903;Female;>55;Sao Paulo;4;0;0;0;0;1;1998-2001;Sud-Est;Compactes;41.5
1218211;Male;26-35;Distrito Federal;0;0;0;0;0;0;2010-2013;Centre-Ouest;Citadine;0.0
266196;Male;36-45;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Citadine;0.0
806608;Female;26-35;Mato Grosso do Sul;0;0;0;0;0;0;2010-2013;Centre-Ouest;Compactes;0.0
1248756;Male;36-45;Rio Grande do Sul;0;0;0;0;0;0;2004-2007;Sud;Véhicules tout-terrain;0.0
69131;Corporate;36-45;Amazonas;0;0;0;0;0;0;2004-2007;Nord;Citadine;0.0
1918278;Male;36-45;Parana;0;0;0;0;0;0;2004-2007;Sud;Compactes;0.0
1531089;Female;36-45;Alagoas;0;0;0;0;0;0;2004-2007;Nord-Est;Véhicules utilitaires sportifs;0.0
86661;Male;36-45;Sao Paulo;0;0;0;0;0;0;1995-1998;Sud-Est;Compactes;0.0
145424;Male;>55;Santa Catarina;0;0;0;0;0;0;2010-2013;Sud;Citadine;0.0
1825729;Male;46-55;Rio Grande do Sul;0;0;0;0;0;0;2004-2007;Sud;Véhicules utilitaires;0.0
738118;Male;46-55;Maranhao;0;0;0;0;0;0;1998-2001;Nord-Est;Compactes;0.0
652242;Male;36-45;Pernambuco;0;0;0;0;0;0;2001-2004;Nord-Est;Citadine;0.0
1287182;Corporate;46-55;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Véhicules utilitaires;0.0
1941422;Female;26-35;Bahia;3;0;1;0;0;1;2010-2013;Nord-Est;Citadine;4303.333333333333
590077;Male;>55;Esperito Santo;4;0;1;0;0;1;2007-2010;Sud-Est;Citadine;67.5
1765517;Female;46-55;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Non classifié;0.0
1808893;Corporate;36-45;Mato Grosso do Sul;0;0;0;0;0;0;2007-2010;Centre-Ouest;Motos;0.0
52649;Male;36-45;Minas Gerais;0;0;0;0;0;0;2001-2004;Sud-Est;Compactes;0.0
474512;Male;>55;Minas Gerais;10;0;1;0;0;1;2007-2010;Sud-Est;Breaks et monospaces;1915.4
924658;Male;26-35;Santa Catarina;0;0;0;0;0;0;2004-2007;Sud;Véhicules tout-terrain;0.0
1902391;Corporate;46-55;Pernambuco;0;0;0;0;0;0;2004-2007;Nord-Est;Citadine;0.0
1563171;Male;46-55;Rondonia;0;0;0;0;0;0;2007-2010;Nord;Véhicules utilitaires;0.0
1948798;Female;36-45;Parana;0;0;0;0;0;0;1998-2001;Sud;Berlines;0.0
623866;Female;>55;Bahia;2;0;1;0;0;0;2007-2010;Nord-Est;Véhicules électriques et hybrides;1984.5
1340935;Corporate;36-45;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires;0.0
1414276;Male;36-45;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires sportifs;0.0
950614;Male;36-45;Parana;0;0;0;0;0;0;2001-2004;Sud;Compactes;0.0
1916454;Female;18-25;Goias;0;0;0;0;0;0;2010-2013;Centre-Ouest;Citadine;0.0
1340850;Male;26-35;Sao Paulo;0;0;0;0;0;0;2001-2004;Sud-Est;Véhicules utilitaires;0.0
1920176;Female;26-35;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Citadine;0.0
1846011;Male;36-45;Sao Paulo;0;0;0;0;0;0;1998-2001;Sud-Est;Véhicules utilitaires;0.0
1235267;Male;26-35;Tocantins;0;0;0;0;0;0;2007-2010;Nord;Véhicules utilitaires sportifs;0.0
897565;Male;>55;Rio Grande do Sul;0;0;0;0;0;0;2010-2013;Sud;Breaks et monospaces;0.0
341389;Corporate;36-45;Sao Paulo;0;0;0;0;0;0;2004-2007;Sud-Est;Citadine;0.0
359295;Male;18-25;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Citadine;0.0
1239870;Female;36-45;Rio Grande do Sul;1;0;1;0;0;0;2010-2013;Sud;Véhicules utilitaires sportifs;150.0
1008332;Male;36-45;Sao Paulo;0;0;0;0;0;0;2004-2007;Sud-Est;Citadine;0.0
214377;Female;46-55;Parana;0;0;0;0;0;0;2001-2004;Sud;Breaks et monospaces;0.0
783241;Female;26-35;Mato Grosso;0;0;0;0;0;0;2007-2010;Centre-Ouest;Compactes;0.0
1094510;Female;36-45;Minas Gerais;0;0;0;0;0;0;2001-2004;Sud-Est;Compactes;0.0
857832;Male;46-55;Goias;0;0;0;0;0;0;2004-2007;Centre-Ouest;Citadine;0.0
192617;Male;>55;Parana;0;0;0;0;0;0;1998-2001;Sud;Compactes;0.0
132482;Male;36-45;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
1687303;Corporate;36-45;Minas Gerais;0;0;0;0;0;0;2010-2013;Sud-Est;Véhicules utilitaires;0.0
611845;Male;>55;Bahia;0;0;0;0;0;0;1998-2001;Nord-Est;Compactes;0.0
1819941;Male;36-45;Sao Paulo;0;0;0;0;0;0;2004-2007;Sud-Est;Véhicules utilitaires sportifs;0.0
453985;Corporate;36-45;Minas Gerais;0;0;0;0;0;0;2004-2007;Sud-Est;Véhicules utilitaires sportifs;0.0
1466609;Male;>55;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires;0.0
325140;Male;36-45;Sao Paulo;10;1;1;0;0;0;2007-2010;Sud-Est;Compactes;5208.2
922100;Female;36-45;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Breaks et monospaces;0.0
97846;Corporate;46-55;Rio Grande do Sul;0;0;0;0;0;0;2010-2013;Sud;Compactes;0.0
502487;Corporate;36-45;Minas Gerais;0;0;0;0;0;0;2007-2010;Sud-Est;Citadine;0.0
555115;Corporate;36-45;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Citadine;0.0
866729;Corporate;36-45;Tocantins;0;0;0;0;0;0;2001-2004;Nord;Citadine;0.0
1377295;Female;36-45;Sao Paulo;0;0;0;0;0;0;2010-2013;Sud-Est;Non classifié;0.0
1434863;Corporate;36-45;Minas Gerais;0;0;0;0;0;0;2010-2013;Sud-Est;Véhicules utilitaires;0.0
165991;Female;36-45;Parana;0;0;0;0;0;0;2010-2013;Sud;Compactes;0.0
171109;Male;46-55;Parana;0;0;0;0;0;0;2004-2007;Sud;Compactes;0.0
1789202;Corporate;36-45;Rio de Janeiro;0;0;0;0;0;0;2004-2007;Sud-Est;Citadine;0.0
1805442;Male;18-25;Amazonas;0;0;0;0;0;0;2007-2010;Nord;Motos;0.0
133245;Corporate;36-45;Santa Catarina;0;0;0;0;0;0;2004-2007;Sud;Breaks et monospaces;0.0
528990;Female;36-45;Rio de Janeiro;0;0;0;0;0;0;2001-2004;Sud-Est;Véhicules utilitaires sportifs;0.0
636816;Male;46-55;Sergipe;0;0;0;0;0;0;2004-2007;Nord-Est;Citadine;0.0
676692;Male;26-35;Rio Grande do Norte;0;0;0;0;0;0;2007-2010;Nord-Est;Breaks et monospaces;0.0
1134373;Male;>55;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires sportifs;0.0
1095387;Male;46-55;Minas Gerais;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
967392;Male;>55;Parana;0;0;0;0;0;0;<1995;Sud;Citadine;0.0
720376;Male;36-45;Ceara;0;0;0;0;0;0;2007-2010;Nord-Est;Compactes;0.0
1736508;Corporate;36-45;Rio Grande do Sul;0;0;0;0;0;0;2007-2010;Sud;Motos;0.0
594112;Male;26-35;Esperito Santo;3;0;0;0;0;1;2001-2004;Sud-Est;Citadine;108.33333333333333
1468748;Female;36-45;Rio de Janeiro;0;0;0;0;0;0;2010-2013;Sud-Est;Véhicules utilitaires sportifs;0.0
67412;Female;26-35;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Citadine;0.0
959995;Male;26-35;Parana;0;0;0;0;0;0;2004-2007;Sud;Compactes;0.0
366640;Female;>55;Sao Paulo;4;0;0;0;0;1;2004-2007;Sud-Est;Citadine;43.75
478829;Female;>55;Minas Gerais;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
814669;Female;26-35;Distrito Federal;2;0;0;0;0;1;1998-2001;Centre-Ouest;Berlines;130.0
916910;Male;>55;Santa Catarina;1;0;1;0;0;0;2004-2007;Sud;Compactes;2692.0
754823;Male;26-35;Para;0;0;0;0;0;0;2007-2010;Nord;Compactes;0.0
1140891;Male;46-55;Rio de Janeiro;0;0;0;0;0;0;2004-2007;Sud-Est;Citadine;0.0
606636;Corporate;36-45;Bahia;0;0;0;0;0;0;2007-2010;Nord-Est;Compactes;0.0
1516155;Female;36-45;Pernambuco;0;0;0;0;0;0;2004-2007;Nord-Est;Véhicules tout-terrain;0.0
938988;Female;46-55;Santa Catarina;0;0;0;0;0;0;2010-2013;Sud;Citadine;0.0
551589;Female;26-35;Rio de Janeiro;1;0;1;0;0;0;2007-2010;Sud-Est;Compactes;3648.0
291053;Female;46-55;Sao Paulo;2;0;0;0;0;1;1998-2001;Sud-Est;Breaks et monospaces;51.5
1115231;Female;46-55;Rio de Janeiro;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
660604;Female;46-55;Pernambuco;0;0;0;0;0;0;2010-2013;Nord-Est;Compactes;0.0
1535523;Male;26-35;Ceara;0;0;0;0;0;0;2004-2007;Nord-Est;Véhicules tout-terrain;0.0
96580;Female;36-45;Ceara;0;0;0;0;0;0;2001-2004;Nord-Est;Compactes;0.0
1529030;Male;36-45;Rio Grande do Norte;0;0;0;0;0;0;1998-2001;Nord-Est;Véhicules utilitaires sportifs;0.0
526667;Female;26-35;Rio de Janeiro;0;0;0;0;0;0;1998-2001;Sud-Est;Compactes;0.0
819337;Female;>55;Distrito Federal;1;0;0;0;0;1;1998-2001;Centre-Ouest;Compactes;48.0
1122612;Male;>55;Rio de Janeiro;1;1;0;0;0;0;2001-2004;Sud-Est;Compactes;29537.0
884732;Female;>55;Rio Grande do Sul;0;0;0;0;0;0;2010-2013;Sud;Citadine;0.0
58959;Female;36-45;Sao Paulo;0;0;0;0;0;0;1998-2001;Sud-Est;Compactes;0.0
90192;Male;46-55;Parana;0;0;0;0;0;0;2007-2010;Sud;Citadine;0.0
1811534;Male;>55;Goias;0;0;0;0;0;0;2010-2013;Centre-Ouest;Véhicules utilitaires;0.0
56494;Female;>55;Santa Catarina;0;0;0;0;0;0;2007-2010;Sud;Compactes;0.0
823566;Male;18-25;Distrito Federal;0;0;0;0;0;0;2010-2013;Centre-Ouest;Compactes;0.0
1667235;Male;36-45;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires sportifs;0.0
1827885;Male;36-45;Santa Catarina;1;0;0;0;0;1;1998-2001;Sud;Véhicules utilitaires;482.0
238745;Corporate;36-45;Parana;0;0;0;0;0;0;2004-2007;Sud;Citadine;0.0
590615;Female;>55;Esperito Santo;4;0;1;0;0;1;2007-2010;Sud-Est;Compactes;419.5
354394;Male;36-45;Sao Paulo;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires sportifs;0.0
425237;Male;18-25;Minas Gerais;0;0;0;0;0;0;2007-2010;Sud-Est;Breaks et monospaces;0.0
1823828;Corporate;26-35;Rio Grande do Sul;0;0;0;0;0;0;2007-2010;Sud;Véhicules utilitaires;0.0
1531450;Female;46-55;Alagoas;0;0;0;0;0;0;2007-2010;Nord-Est;Véhicules utilitaires sportifs;0.0
1472300;Female;26-35;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Véhicules utilitaires sportifs;0.0
320456;Male;18-25;Sao Paulo;0;0;0;0;0;0;1995-1998;Sud-Est;Citadine;0.0
454334;Corporate;36-45;Minas Gerais;0;0;0;0;0;0;2004-2007;Sud-Est;Compactes;0.0
794692;Female;36-45;Mato Grosso do Sul;2;0;1;0;0;0;2010-2013;Centre-Ouest;Compactes;1227.0
1670050;Corporate;36-45;Sao Paulo;0;0;0;0;0;0;2001-2004;Sud-Est;Véhicules utilitaires;0.0
933585;Female;26-35;Santa Catarina;0;0;0;0;0;0;2001-2004;Sud;Berlines;0.0
1109878;Male;36-45;Rio de Janeiro;0;0;0;0;0;0;2007-2010;Sud-Est;Breaks et monospaces;0.0
1109856;Female;>55;Rio de Janeiro;1;0;0;1;0;0;2004-2007;Sud-Est;Breaks et monospaces;59010.0
